timestamp,filename,simulation,replica,pos_threshold,neg_threshold,load_time_ms,render_time_ms,avg_fps,memory_heap_mb,visible_points
2026-04-17T19:37:35.234Z,dccm_data_1600.bin,asp294his,Rep_2,0.5,0.5,9.30,21.00,60.0,289.41, 44494
2026-04-17T19:37:55.243Z,dccm_data_1600.bin,asp294his,Rep_2,0.75,0.75,9.30,8.50,60.0,299.86, 13690
2026-04-17T19:38:23.123Z,dccm_data_25.bin,asp294his,Rep_3,0.35,0.35,282.70,7596.00,40.9,1564.19, 5104544
2026-04-17T19:38:35.904Z,dccm_data_25.bin,asp294his,Rep_3,0.5,0.5,282.70,659.20,51.8,1576.80, 2003042
2026-04-17T19:38:56.240Z,dccm_data_25.bin,asp294his,Rep_3,0.75,0.75,282.70,330.50,59.1,1296.47, 590698
2026-04-17T19:39:21.116Z,dccm_data_50.bin,asp294his,Rep_3,0.35,0.35,502.40,4368.00,50.3,923.68, 2383540
2026-04-17T19:39:36.600Z,dccm_data_50.bin,asp294his,Rep_3,0.5,0.5,502.40,312.80,58.3,931.44, 986228
2026-04-17T19:39:56.761Z,dccm_data_50.bin,asp294his,Rep_3,0.75,0.75,502.40,159.90,59.5,853.24, 309208
2026-04-17T19:40:19.844Z,dccm_data_100.bin,asp294his,Rep_3,0.35,0.35,234.10,2845.20,56.5,610.95, 1217188
2026-04-17T19:40:36.931Z,dccm_data_100.bin,asp294his,Rep_3,0.5,0.5,234.10,165.40,59.6,592.34, 533296
2026-04-17T19:40:57.021Z,dccm_data_100.bin,asp294his,Rep_3,0.75,0.75,234.10,89.90,59.8,520.63, 172240
2026-04-17T19:41:19.306Z,dccm_data_200.bin,asp294his,Rep_3,0.35,0.35,116.80,2165.50,56.9,457.66, 656244
2026-04-17T19:41:37.115Z,dccm_data_200.bin,asp294his,Rep_3,0.5,0.5,116.80,90.40,59.8,450.31, 285984
2026-04-17T19:41:57.167Z,dccm_data_200.bin,asp294his,Rep_3,0.75,0.75,116.80,50.20,60.0,395.42, 92060
2026-04-17T19:42:18.977Z,dccm_data_400.bin,asp294his,Rep_3,0.35,0.35,63.60,1743.80,56.9,373.91, 358726
2026-04-17T19:42:37.224Z,dccm_data_400.bin,asp294his,Rep_3,0.5,0.5,63.60,54.40,60.0,360.57, 160194
2026-04-17T19:42:57.253Z,dccm_data_400.bin,asp294his,Rep_3,0.75,0.75,63.60,28.30,60.0,347.05, 50028
2026-04-17T19:43:18.839Z,dccm_data_800.bin,asp294his,Rep_3,0.35,0.35,17.60,1566.30,57.4,338.72, 190036
2026-04-17T19:43:37.286Z,dccm_data_800.bin,asp294his,Rep_3,0.5,0.5,17.60,30.10,60.0,321.12, 83658
2026-04-17T19:43:57.302Z,dccm_data_800.bin,asp294his,Rep_3,0.75,0.75,17.60,16.30,60.0,302.96, 25818
2026-04-17T19:44:18.869Z,dccm_data_1600.bin,asp294his,Rep_3,0.35,0.35,17.80,1545.90,57.6,295.54, 102886
2026-04-17T19:44:37.325Z,dccm_data_1600.bin,asp294his,Rep_3,0.5,0.5,17.80,19.70,60.0,289.90, 45260
2026-04-17T19:44:57.336Z,dccm_data_1600.bin,asp294his,Rep_3,0.75,0.75,17.80,10.20,60.0,304.08, 14070
2026-04-17T19:45:24.665Z,dccm_data_25.bin,asp294his,Rep_4,0.35,0.35,298.50,7028.30,43.6,1567.28, 3992396
2026-04-17T19:45:37.957Z,dccm_data_25.bin,asp294his,Rep_4,0.5,0.5,298.50,618.70,53.5,1448.06, 1653582
2026-04-17T19:45:58.250Z,dccm_data_25.bin,asp294his,Rep_4,0.75,0.75,298.50,291.30,59.2,1286.28, 536344
2026-04-17T19:46:22.697Z,dccm_data_50.bin,asp294his,Rep_4,0.35,0.35,369.30,4071.00,51.5,952.61, 1805636
2026-04-17T19:46:38.561Z,dccm_data_50.bin,asp294his,Rep_4,0.5,0.5,369.30,287.70,58.8,860.91, 818986
2026-04-17T19:46:58.713Z,dccm_data_50.bin,asp294his,Rep_4,0.75,0.75,369.30,152.20,59.6,763.83, 280078
2026-04-17T19:47:21.512Z,dccm_data_100.bin,asp294his,Rep_4,0.35,0.35,161.70,2632.20,56.6,607.33, 920470
2026-04-17T19:47:38.873Z,dccm_data_100.bin,asp294his,Rep_4,0.5,0.5,161.70,153.90,59.6,566.94, 428978
2026-04-17T19:47:58.954Z,dccm_data_100.bin,asp294his,Rep_4,0.75,0.75,161.70,81.20,59.9,508.65, 150700
2026-04-17T19:48:21.125Z,dccm_data_200.bin,asp294his,Rep_4,0.35,0.35,159.10,2007.90,59.3,421.35, 483042
2026-04-17T19:48:39.037Z,dccm_data_200.bin,asp294his,Rep_4,0.5,0.5,159.10,78.80,59.9,422.17, 224398
2026-04-17T19:48:59.082Z,dccm_data_200.bin,asp294his,Rep_4,0.75,0.75,159.10,44.70,60.0,382.64, 80670
2026-04-17T19:49:20.913Z,dccm_data_400.bin,asp294his,Rep_4,0.35,0.35,68.10,1761.00,57.1,357.04, 256306
2026-04-17T19:49:39.129Z,dccm_data_400.bin,asp294his,Rep_4,0.5,0.5,68.10,44.30,60.0,346.46, 117356
2026-04-17T19:49:59.155Z,dccm_data_400.bin,asp294his,Rep_4,0.75,0.75,68.10,25.70,60.0,327.70, 43680
2026-04-17T19:50:20.773Z,dccm_data_800.bin,asp294his,Rep_4,0.35,0.35,27.90,1587.20,57.4,314.82, 126764
2026-04-17T19:50:39.181Z,dccm_data_800.bin,asp294his,Rep_4,0.5,0.5,27.90,23.10,60.0,309.08, 58204
2026-04-17T19:50:59.196Z,dccm_data_800.bin,asp294his,Rep_4,0.75,0.75,27.90,14.60,60.0,309.08, 22440
2026-04-17T19:51:20.742Z,dccm_data_1600.bin,asp294his,Rep_4,0.35,0.35,17.20,1526.10,57.5,324.13, 70228
2026-04-17T19:51:39.212Z,dccm_data_1600.bin,asp294his,Rep_4,0.5,0.5,17.20,13.10,60.0,282.89, 33292
2026-04-17T19:51:59.220Z,dccm_data_1600.bin,asp294his,Rep_4,0.75,0.75,17.20,7.00,60.0,273.40, 12202
2026-04-17T19:52:27.106Z,dccm_data_25.bin,asp294his,Rep_5,0.35,0.35,314.20,7569.90,24.1,1535.69, 4816732
2026-04-17T19:52:40.082Z,dccm_data_25.bin,asp294his,Rep_5,0.5,0.5,314.20,700.00,37.9,1492.96, 1944058
2026-04-17T19:53:00.490Z,dccm_data_25.bin,asp294his,Rep_5,0.75,0.75,314.20,341.00,57.9,1289.25, 564816
2026-04-17T19:53:25.174Z,dccm_data_50.bin,asp294his,Rep_5,0.35,0.35,444.80,4230.40,34.5,1002.93, 2242202
2026-04-17T19:53:40.864Z,dccm_data_50.bin,asp294his,Rep_5,0.5,0.5,444.80,355.50,52.5,804.04, 978332
2026-04-17T19:54:01.048Z,dccm_data_50.bin,asp294his,Rep_5,0.75,0.75,444.80,153.90,59.4,842.99, 301700
2026-04-17T19:54:24.212Z,dccm_data_100.bin,asp294his,Rep_5,0.35,0.35,276.50,2881.80,44.9,615.53, 1169650
2026-04-17T19:54:41.248Z,dccm_data_100.bin,asp294his,Rep_5,0.5,0.5,276.50,170.20,59.0,597.13, 522288
2026-04-17T19:55:01.333Z,dccm_data_100.bin,asp294his,Rep_5,0.75,0.75,276.50,84.70,59.8,519.07, 165416
2026-04-17T19:55:23.607Z,dccm_data_200.bin,asp294his,Rep_5,0.35,0.35,102.90,2164.10,56.8,444.04, 612822
2026-04-17T19:55:41.436Z,dccm_data_200.bin,asp294his,Rep_5,0.5,0.5,102.90,93.10,59.8,431.11, 275982
2026-04-17T19:56:01.484Z,dccm_data_200.bin,asp294his,Rep_5,0.75,0.75,102.90,46.10,60.0,392.64, 86944
2026-04-17T19:56:23.389Z,dccm_data_400.bin,asp294his,Rep_5,0.35,0.35,87.80,1814.60,56.6,386.33, 350220
2026-04-17T19:56:41.544Z,dccm_data_400.bin,asp294his,Rep_5,0.5,0.5,87.80,57.30,59.9,363.71, 170590
2026-04-17T19:57:01.577Z,dccm_data_400.bin,asp294his,Rep_5,0.75,0.75,87.80,28.30,60.0,349.83, 56820
2026-04-17T19:57:23.203Z,dccm_data_800.bin,asp294his,Rep_5,0.35,0.35,20.60,1601.10,57.2,328.27, 204586
2026-04-17T19:57:41.615Z,dccm_data_800.bin,asp294his,Rep_5,0.5,0.5,20.60,33.60,60.0,327.20, 104170
2026-04-17T19:58:01.634Z,dccm_data_800.bin,asp294his,Rep_5,0.75,0.75,20.60,18.60,60.0,295.05, 33370
2026-04-17T19:58:23.154Z,dccm_data_1600.bin,asp294his,Rep_5,0.35,0.35,10.80,1506.70,57.5,328.32, 118572
2026-04-17T19:58:41.664Z,dccm_data_1600.bin,asp294his,Rep_5,0.5,0.5,10.80,26.50,60.0,299.52, 61550
2026-04-17T19:59:01.676Z,dccm_data_1600.bin,asp294his,Rep_5,0.75,0.75,10.80,11.90,60.0,307.78, 19560
2026-04-17T19:59:28.948Z,dccm_data_25.bin,asp294his_lig,Rep_1,0.35,0.35,335.40,6934.30,31.2,1520.81, 3650526
2026-04-17T19:59:42.373Z,dccm_data_25.bin,asp294his_lig,Rep_1,0.5,0.5,335.40,600.60,43.3,1398.30, 1482586
2026-04-17T20:00:02.652Z,dccm_data_25.bin,asp294his_lig,Rep_1,0.75,0.75,335.40,273.80,59.2,1432.51, 488014
2026-04-17T20:00:27.069Z,dccm_data_50.bin,asp294his_lig,Rep_1,0.35,0.35,434.50,3975.20,43.2,914.83, 1626140
2026-04-17T20:00:42.995Z,dccm_data_50.bin,asp294his_lig,Rep_1,0.5,0.5,434.50,284.30,58.5,840.91, 732396
2026-04-17T20:01:03.155Z,dccm_data_50.bin,asp294his_lig,Rep_1,0.75,0.75,434.50,152.40,59.6,751.71, 255156
2026-04-17T20:01:25.885Z,dccm_data_100.bin,asp294his_lig,Rep_1,0.35,0.35,82.00,2641.10,55.8,614.55, 825070
2026-04-17T20:01:43.305Z,dccm_data_100.bin,asp294his_lig,Rep_1,0.5,0.5,82.00,142.90,59.7,564.13, 379380
2026-04-17T20:02:03.389Z,dccm_data_100.bin,asp294his_lig,Rep_1,0.75,0.75,82.00,82.10,59.8,500.40, 136270
2026-04-17T20:02:25.454Z,dccm_data_200.bin,asp294his_lig,Rep_1,0.35,0.35,60.70,2000.50,57.1,432.89, 446666
2026-04-17T20:02:43.467Z,dccm_data_200.bin,asp294his_lig,Rep_1,0.5,0.5,60.70,74.30,59.9,425.51, 203730
2026-04-17T20:03:03.515Z,dccm_data_200.bin,asp294his_lig,Rep_1,0.75,0.75,60.70,46.30,60.0,383.50, 73384
2026-04-17T20:03:25.257Z,dccm_data_400.bin,asp294his_lig,Rep_1,0.35,0.35,29.60,1708.90,57.1,334.45, 251566
2026-04-17T20:03:43.555Z,dccm_data_400.bin,asp294his_lig,Rep_1,0.5,0.5,29.60,37.00,60.0,358.52, 110752
2026-04-17T20:04:03.580Z,dccm_data_400.bin,asp294his_lig,Rep_1,0.75,0.75,29.60,24.20,60.0,339.48, 40084
2026-04-17T20:04:25.198Z,dccm_data_800.bin,asp294his_lig,Rep_1,0.35,0.35,23.70,1591.70,57.4,333.71, 132020
2026-04-17T20:04:43.606Z,dccm_data_800.bin,asp294his_lig,Rep_1,0.5,0.5,23.70,23.20,60.0,310.48, 57686
2026-04-17T20:05:03.620Z,dccm_data_800.bin,asp294his_lig,Rep_1,0.75,0.75,23.70,14.40,60.0,315.01, 21060
2026-04-17T20:05:25.161Z,dccm_data_1600.bin,asp294his_lig,Rep_1,0.35,0.35,16.50,1521.30,57.6,310.80, 84658
2026-04-17T20:05:43.640Z,dccm_data_1600.bin,asp294his_lig,Rep_1,0.5,0.5,16.50,16.60,60.0,286.24, 36034
2026-04-17T20:06:03.650Z,dccm_data_1600.bin,asp294his_lig,Rep_1,0.75,0.75,16.50,8.90,60.0,296.97, 12052
2026-04-17T20:06:31.237Z,dccm_data_25.bin,asp294his_lig,Rep_2,0.35,0.35,329.70,7254.70,25.2,1539.09, 4052608
2026-04-17T20:06:44.385Z,dccm_data_25.bin,asp294his_lig,Rep_2,0.5,0.5,329.70,621.10,43.1,1432.48, 1571198
2026-04-17T20:07:04.663Z,dccm_data_25.bin,asp294his_lig,Rep_2,0.75,0.75,329.70,277.60,59.1,1476.52, 469014
2026-04-17T20:07:28.999Z,dccm_data_50.bin,asp294his_lig,Rep_2,0.35,0.35,346.20,3980.40,36.7,969.49, 1839046
2026-04-17T20:07:45.002Z,dccm_data_50.bin,asp294his_lig,Rep_2,0.5,0.5,346.20,281.40,57.8,877.10, 782938
2026-04-17T20:08:05.172Z,dccm_data_50.bin,asp294his_lig,Rep_2,0.75,0.75,346.20,148.00,59.6,749.42, 244692
2026-04-17T20:08:28.022Z,dccm_data_100.bin,asp294his_lig,Rep_2,0.35,0.35,167.80,2677.50,51.9,571.17, 954972
2026-04-17T20:08:45.330Z,dccm_data_100.bin,asp294his_lig,Rep_2,0.5,0.5,167.80,150.30,59.7,556.96, 418036
2026-04-17T20:09:05.405Z,dccm_data_100.bin,asp294his_lig,Rep_2,0.75,0.75,167.80,74.80,59.9,527.40, 130064
2026-04-17T20:09:27.657Z,dccm_data_200.bin,asp294his_lig,Rep_2,0.35,0.35,129.60,2118.60,57.0,446.69, 513072
2026-04-17T20:09:45.493Z,dccm_data_200.bin,asp294his_lig,Rep_2,0.5,0.5,129.60,84.00,59.8,430.84, 227032
2026-04-17T20:10:05.537Z,dccm_data_200.bin,asp294his_lig,Rep_2,0.75,0.75,129.60,43.30,60.0,384.10, 70574
2026-04-17T20:10:27.381Z,dccm_data_400.bin,asp294his_lig,Rep_2,0.35,0.35,58.00,1783.70,56.9,381.75, 304374
2026-04-17T20:10:45.589Z,dccm_data_400.bin,asp294his_lig,Rep_2,0.5,0.5,58.00,49.30,59.9,350.77, 136380
2026-04-17T20:11:05.614Z,dccm_data_400.bin,asp294his_lig,Rep_2,0.75,0.75,58.00,23.90,60.0,336.67, 39820
2026-04-17T20:11:27.266Z,dccm_data_800.bin,asp294his_lig,Rep_2,0.35,0.35,25.70,1623.60,57.4,328.08, 169952
2026-04-17T20:11:45.644Z,dccm_data_800.bin,asp294his_lig,Rep_2,0.5,0.5,25.70,27.40,60.0,317.23, 79116
